filepath,transcript,label
data/TESS/OAF_angry\OAF_knock_angry.wav,OAF_knock_angry,angry
data/TESS/OAF_angry\OAF_late_angry.wav,OAF_late_angry,angry
data/TESS/OAF_angry\OAF_laud_angry.wav,OAF_laud_angry,angry
data/TESS/OAF_angry\OAF_lean_angry.wav,OAF_lean_angry,angry
data/TESS/OAF_angry\OAF_learn_angry.wav,OAF_learn_angry,angry
data/TESS/OAF_angry\OAF_lease_angry.wav,OAF_lease_angry,angry
data/TESS/OAF_angry\OAF_lid_angry.wav,OAF_lid_angry,angry
data/TESS/OAF_angry\OAF_life_angry.wav,OAF_life_angry,angry
data/TESS/OAF_angry\OAF_limb_angry.wav,OAF_limb_angry,angry
data/TESS/OAF_angry\OAF_live_angry.wav,OAF_live_angry,angry
data/TESS/OAF_angry\OAF_loaf_angry.wav,OAF_loaf_angry,angry
data/TESS/OAF_angry\OAF_long_angry.wav,OAF_long_angry,angry
data/TESS/OAF_angry\OAF_lore_angry.wav,OAF_lore_angry,angry
data/TESS/OAF_angry\OAF_lose_angry.wav,OAF_lose_angry,angry
data/TESS/OAF_angry\OAF_lot_angry.wav,OAF_lot_angry,angry
data/TESS/OAF_angry\OAF_love_angry.wav,OAF_love_angry,angry
data/TESS/OAF_angry\OAF_luck_angry.wav,OAF_luck_angry,angry
data/TESS/OAF_angry\OAF_make_angry.wav,OAF_make_angry,angry
data/TESS/OAF_angry\OAF_match_angry.wav,OAF_match_angry,angry
data/TESS/OAF_angry\OAF_merge_angry.wav,OAF_merge_angry,angry
data/TESS/OAF_angry\OAF_mess_angry.wav,OAF_mess_angry,angry
data/TESS/OAF_angry\OAF_met_angry.wav,OAF_met_angry,angry
data/TESS/OAF_angry\OAF_mill_angry.wav,OAF_mill_angry,angry
data/TESS/OAF_angry\OAF_mob_angry.wav,OAF_mob_angry,angry
data/TESS/OAF_angry\OAF_mode_angry.wav,OAF_mode_angry,angry
data/TESS/OAF_angry\OAF_mood_angry.wav,OAF_mood_angry,angry
data/TESS/OAF_angry\OAF_moon_angry.wav,OAF_moon_angry,angry
data/TESS/OAF_angry\OAF_mop_angry.wav,OAF_mop_angry,angry
data/TESS/OAF_angry\OAF_mouse_angry.wav,OAF_mouse_angry,angry
data/TESS/OAF_angry\OAF_nag_angry.wav,OAF_nag_angry,angry
data/TESS/OAF_angry\OAF_name_angry.wav,OAF_name_angry,angry
data/TESS/OAF_angry\OAF_near_angry.wav,OAF_near_angry,angry
data/TESS/OAF_angry\OAF_neat_angry.wav,OAF_neat_angry,angry
data/TESS/OAF_angry\OAF_nice_angry.wav,OAF_nice_angry,angry
data/TESS/OAF_angry\OAF_note_angry.wav,OAF_note_angry,angry
data/TESS/OAF_angry\OAF_numb_angry.wav,OAF_numb_angry,angry
data/TESS/OAF_angry\OAF_pad_angry.wav,OAF_pad_angry,angry
data/TESS/OAF_angry\OAF_page_angry.wav,OAF_page_angry,angry
data/TESS/OAF_angry\OAF_pain_angry.wav,OAF_pain_angry,angry
data/TESS/OAF_angry\OAF_pass_angry.wav,OAF_pass_angry,angry
data/TESS/OAF_angry\OAF_pearl_angry.wav,OAF_pearl_angry,angry
data/TESS/OAF_angry\OAF_peg_angry.wav,OAF_peg_angry,angry
data/TESS/OAF_angry\OAF_perch_angry.wav,OAF_perch_angry,angry
data/TESS/OAF_angry\OAF_phone_angry.wav,OAF_phone_angry,angry
data/TESS/OAF_angry\OAF_pick_angry.wav,OAF_pick_angry,angry
data/TESS/OAF_angry\OAF_pike_angry.wav,OAF_pike_angry,angry
data/TESS/OAF_angry\OAF_pole_angry.wav,OAF_pole_angry,angry
data/TESS/OAF_angry\OAF_pool_angry.wav,OAF_pool_angry,angry
data/TESS/OAF_angry\OAF_puff_angry.wav,OAF_puff_angry,angry
data/TESS/OAF_angry\OAF_rag_angry.wav,OAF_rag_angry,angry
data/TESS/OAF_angry\OAF_raid_angry.wav,OAF_raid_angry,angry
data/TESS/OAF_angry\OAF_rain_angry.wav,OAF_rain_angry,angry
data/TESS/OAF_angry\OAF_raise_angry.wav,OAF_raise_angry,angry
data/TESS/OAF_angry\OAF_rat_angry.wav,OAF_rat_angry,angry
data/TESS/OAF_angry\OAF_reach_angry.wav,OAF_reach_angry,angry
data/TESS/OAF_angry\OAF_read_angry.wav,OAF_read_angry,angry
data/TESS/OAF_angry\OAF_red_angry.wav,OAF_red_angry,angry
data/TESS/OAF_angry\OAF_ring_angry.wav,OAF_ring_angry,angry
data/TESS/OAF_angry\OAF_ripe_angry.wav,OAF_ripe_angry,angry
data/TESS/OAF_angry\OAF_road_angry.wav,OAF_road_angry,angry
data/TESS/OAF_angry\OAF_room_angry.wav,OAF_room_angry,angry
data/TESS/OAF_angry\OAF_rose_angry.wav,OAF_rose_angry,angry
data/TESS/OAF_angry\OAF_rot_angry.wav,OAF_rot_angry,angry
data/TESS/OAF_angry\OAF_rough_angry.wav,OAF_rough_angry,angry
data/TESS/OAF_angry\OAF_rush_angry.wav,OAF_rush_angry,angry
data/TESS/OAF_angry\OAF_said_angry.wav,OAF_said_angry,angry
data/TESS/OAF_angry\OAF_sail_angry.wav,OAF_sail_angry,angry
data/TESS/OAF_angry\OAF_search_angry.wav,OAF_search_angry,angry
data/TESS/OAF_angry\OAF_seize_angry.wav,OAF_seize_angry,angry
data/TESS/OAF_angry\OAF_sell_angry.wav,OAF_sell_angry,angry
data/TESS/OAF_angry\OAF_shack_angry.wav,OAF_shack_angry,angry
data/TESS/OAF_angry\OAF_shall_angry.wav,OAF_shall_angry,angry
data/TESS/OAF_angry\OAF_shawl_angry.wav,OAF_shawl_angry,angry
data/TESS/OAF_angry\OAF_sheep_angry.wav,OAF_sheep_angry,angry
data/TESS/OAF_angry\OAF_shirt_angry.wav,OAF_shirt_angry,angry
data/TESS/OAF_angry\OAF_should_angry.wav,OAF_should_angry,angry
data/TESS/OAF_angry\OAF_shout_angry.wav,OAF_shout_angry,angry
data/TESS/OAF_angry\OAF_size_angry.wav,OAF_size_angry,angry
data/TESS/OAF_angry\OAF_soap_angry.wav,OAF_soap_angry,angry
data/TESS/OAF_angry\OAF_soup_angry.wav,OAF_soup_angry,angry
data/TESS/OAF_angry\OAF_sour_angry.wav,OAF_sour_angry,angry
data/TESS/OAF_angry\OAF_south_angry.wav,OAF_south_angry,angry
data/TESS/OAF_angry\OAF_sub_angry.wav,OAF_sub_angry,angry
data/TESS/OAF_angry\OAF_such_angry.wav,OAF_such_angry,angry
data/TESS/OAF_angry\OAF_sure_angry.wav,OAF_sure_angry,angry
data/TESS/OAF_angry\OAF_take_angry.wav,OAF_take_angry,angry
data/TESS/OAF_angry\OAF_talk_angry.wav,OAF_talk_angry,angry
data/TESS/OAF_angry\OAF_tape_angry.wav,OAF_tape_angry,angry
data/TESS/OAF_angry\OAF_team_angry.wav,OAF_team_angry,angry
data/TESS/OAF_angry\OAF_tell_angry.wav,OAF_tell_angry,angry
data/TESS/OAF_angry\OAF_thin_angry.wav,OAF_thin_angry,angry
data/TESS/OAF_angry\OAF_third_angry.wav,OAF_third_angry,angry
data/TESS/OAF_angry\OAF_thought_angry.wav,OAF_thought_angry,angry
data/TESS/OAF_angry\OAF_thumb_angry.wav,OAF_thumb_angry,angry
data/TESS/OAF_angry\OAF_time_angry.wav,OAF_time_angry,angry
data/TESS/OAF_angry\OAF_tip_angry.wav,OAF_tip_angry,angry
data/TESS/OAF_angry\OAF_tire_angry.wav,OAF_tire_angry,angry
data/TESS/OAF_angry\OAF_ton_angry.wav,OAF_ton_angry,angry
data/TESS/OAF_angry\OAF_tool_angry.wav,OAF_tool_angry,angry
data/TESS/OAF_angry\OAF_tough_angry.wav,OAF_tough_angry,angry
data/TESS/OAF_angry\OAF_turn_angry.wav,OAF_turn_angry,angry
data/TESS/OAF_angry\OAF_vine_angry.wav,OAF_vine_angry,angry
data/TESS/OAF_angry\OAF_voice_angry.wav,OAF_voice_angry,angry
data/TESS/OAF_angry\OAF_void_angry.wav,OAF_void_angry,angry
data/TESS/OAF_angry\OAF_vote_angry.wav,OAF_vote_angry,angry
data/TESS/OAF_angry\OAF_wag_angry.wav,OAF_wag_angry,angry
data/TESS/OAF_angry\OAF_walk_angry.wav,OAF_walk_angry,angry
data/TESS/OAF_angry\OAF_wash_angry.wav,OAF_wash_angry,angry
data/TESS/OAF_angry\OAF_week_angry.wav,OAF_week_angry,angry
data/TESS/OAF_angry\OAF_wheat_angry.wav,OAF_wheat_angry,angry
data/TESS/OAF_angry\OAF_when_angry.wav,OAF_when_angry,angry
data/TESS/OAF_angry\OAF_which_angry.wav,OAF_which_angry,angry
data/TESS/OAF_angry\OAF_whip_angry.wav,OAF_whip_angry,angry
data/TESS/OAF_angry\OAF_white_angry.wav,OAF_white_angry,angry
data/TESS/OAF_angry\OAF_wife_angry.wav,OAF_wife_angry,angry
data/TESS/OAF_angry\OAF_wire_angry.wav,OAF_wire_angry,angry
data/TESS/OAF_angry\OAF_witch_angry.wav,OAF_witch_angry,angry
data/TESS/OAF_angry\OAF_yearn_angry.wav,OAF_yearn_angry,angry
data/TESS/OAF_angry\OAF_yes_angry.wav,OAF_yes_angry,angry
data/TESS/OAF_angry\OAF_young_angry.wav,OAF_young_angry,angry
data/TESS/OAF_angry\OAF_youth_angry.wav,OAF_youth_angry,angry
data/TESS/OAF_disgust\OAF_back_disgust.wav,OAF_back_disgust,disgust
data/TESS/OAF_disgust\OAF_bar_disgust.wav,OAF_bar_disgust,disgust
data/TESS/OAF_disgust\OAF_base_disgust.wav,OAF_base_disgust,disgust
data/TESS/OAF_disgust\OAF_bath_disgust.wav,OAF_bath_disgust,disgust
data/TESS/OAF_disgust\OAF_bean_disgust.wav,OAF_bean_disgust,disgust
data/TESS/OAF_disgust\OAF_beg_disgust.wav,OAF_beg_disgust,disgust
data/TESS/OAF_disgust\OAF_bite_disgust.wav,OAF_bite_disgust,disgust
data/TESS/OAF_disgust\OAF_boat_disgust.wav,OAF_boat_disgust,disgust
data/TESS/OAF_disgust\OAF_bone_disgust.wav,OAF_bone_disgust,disgust
data/TESS/OAF_disgust\OAF_book_disgust.wav,OAF_book_disgust,disgust
data/TESS/OAF_disgust\OAF_bought_disgust.wav,OAF_bought_disgust,disgust
data/TESS/OAF_disgust\OAF_burn_disgust.wav,OAF_burn_disgust,disgust
data/TESS/OAF_disgust\OAF_cab_disgust.wav,OAF_cab_disgust,disgust
data/TESS/OAF_disgust\OAF_calm_disgust.wav,OAF_calm_disgust,disgust
data/TESS/OAF_disgust\OAF_came_disgust.wav,OAF_came_disgust,disgust
data/TESS/OAF_disgust\OAF_cause_disgust.wav,OAF_cause_disgust,disgust
data/TESS/OAF_disgust\OAF_chain_disgust.wav,OAF_chain_disgust,disgust
data/TESS/OAF_disgust\OAF_chair_disgust.wav,OAF_chair_disgust,disgust
data/TESS/OAF_disgust\OAF_chalk_disgust.wav,OAF_chalk_disgust,disgust
data/TESS/OAF_disgust\OAF_chat_disgust.wav,OAF_chat_disgust,disgust
data/TESS/OAF_disgust\OAF_check_disgust.wav,OAF_check_disgust,disgust
data/TESS/OAF_disgust\OAF_cheek_disgust.wav,OAF_cheek_disgust,disgust
data/TESS/OAF_disgust\OAF_chief_disgust.wav,OAF_chief_disgust,disgust
data/TESS/OAF_disgust\OAF_choice_disgust.wav,OAF_choice_disgust,disgust
data/TESS/OAF_disgust\OAF_cool_disgust.wav,OAF_cool_disgust,disgust
data/TESS/OAF_disgust\OAF_dab_disgust.wav,OAF_dab_disgust,disgust
data/TESS/OAF_disgust\OAF_date_disgust.wav,OAF_date_disgust,disgust
data/TESS/OAF_disgust\OAF_dead_disgust.wav,OAF_dead_disgust,disgust
data/TESS/OAF_disgust\OAF_death_disgust.wav,OAF_death_disgust,disgust
data/TESS/OAF_disgust\OAF_deep_disgust.wav,OAF_deep_disgust,disgust
data/TESS/OAF_disgust\OAF_dime_disgust.wav,OAF_dime_disgust,disgust
data/TESS/OAF_disgust\OAF_dip_disgust.wav,OAF_dip_disgust,disgust
data/TESS/OAF_disgust\OAF_ditch_disgust.wav,OAF_ditch_disgust,disgust
data/TESS/OAF_disgust\OAF_dodge_disgust.wav,OAF_dodge_disgust,disgust
data/TESS/OAF_disgust\OAF_dog_disgust.wav,OAF_dog_disgust,disgust
data/TESS/OAF_disgust\OAF_doll_disgust.wav,OAF_doll_disgust,disgust
data/TESS/OAF_disgust\OAF_door_disgust.wav,OAF_door_disgust,disgust
data/TESS/OAF_disgust\OAF_fail_disgust.wav,OAF_fail_disgust,disgust
data/TESS/OAF_disgust\OAF_fall_disgust.wav,OAF_fall_disgust,disgust
data/TESS/OAF_disgust\OAF_far_disgust.wav,OAF_far_disgust,disgust
data/TESS/OAF_disgust\OAF_fat_disgust.wav,OAF_fat_disgust,disgust
data/TESS/OAF_disgust\OAF_fit_disgust.wav,OAF_fit_disgust,disgust
data/TESS/OAF_disgust\OAF_five_disgust.wav,OAF_five_disgust,disgust
data/TESS/OAF_disgust\OAF_food_disgust.wav,OAF_food_disgust,disgust
data/TESS/OAF_disgust\OAF_gap_disgust.wav,OAF_gap_disgust,disgust
data/TESS/OAF_disgust\OAF_gas_disgust.wav,OAF_gas_disgust,disgust
data/TESS/OAF_disgust\OAF_gaze_disgust.wav,OAF_gaze_disgust,disgust
data/TESS/OAF_disgust\OAF_germ_disgust.wav,OAF_germ_disgust,disgust
data/TESS/OAF_disgust\OAF_get_disgust.wav,OAF_get_disgust,disgust
data/TESS/OAF_disgust\OAF_gin_disgust.wav,OAF_gin_disgust,disgust
data/TESS/OAF_disgust\OAF_goal_disgust.wav,OAF_goal_disgust,disgust
data/TESS/OAF_disgust\OAF_good_disgust.wav,OAF_good_disgust,disgust
data/TESS/OAF_disgust\OAF_goose_disgust.wav,OAF_goose_disgust,disgust
data/TESS/OAF_disgust\OAF_gun_disgust.wav,OAF_gun_disgust,disgust
data/TESS/OAF_disgust\OAF_half_disgust.wav,OAF_half_disgust,disgust
data/TESS/OAF_disgust\OAF_hall_disgust.wav,OAF_hall_disgust,disgust
data/TESS/OAF_disgust\OAF_hash_disgust.wav,OAF_hash_disgust,disgust
data/TESS/OAF_disgust\OAF_hate_disgust.wav,OAF_hate_disgust,disgust
data/TESS/OAF_disgust\OAF_have_disgust.wav,OAF_have_disgust,disgust
data/TESS/OAF_disgust\OAF_haze_disgust.wav,OAF_haze_disgust,disgust
data/TESS/OAF_disgust\OAF_hire_disgust.wav,OAF_hire_disgust,disgust
data/TESS/OAF_disgust\OAF_hit_disgust.wav,OAF_hit_disgust,disgust
data/TESS/OAF_disgust\OAF_hole_disgust.wav,OAF_hole_disgust,disgust
data/TESS/OAF_disgust\OAF_home_disgust.wav,OAF_home_disgust,disgust
data/TESS/OAF_disgust\OAF_hurl_disgust.wav,OAF_hurl_disgust,disgust
data/TESS/OAF_disgust\OAF_hush_disgust.wav,OAF_hush_disgust,disgust
data/TESS/OAF_disgust\OAF_jail_disgust.wav,OAF_jail_disgust,disgust
data/TESS/OAF_disgust\OAF_jar_disgust.wav,OAF_jar_disgust,disgust
data/TESS/OAF_disgust\OAF_join_disgust.wav,OAF_join_disgust,disgust
data/TESS/OAF_disgust\OAF_judge_disgust.wav,OAF_judge_disgust,disgust
data/TESS/OAF_disgust\OAF_jug_disgust.wav,OAF_jug_disgust,disgust
data/TESS/OAF_disgust\OAF_juice_disgust.wav,OAF_juice_disgust,disgust
data/TESS/OAF_disgust\OAF_keen_disgust.wav,OAF_keen_disgust,disgust
data/TESS/OAF_disgust\OAF_keep_disgust.wav,OAF_keep_disgust,disgust
data/TESS/OAF_disgust\OAF_keg_disgust.wav,OAF_keg_disgust,disgust
data/TESS/OAF_disgust\OAF_kick_disgust.wav,OAF_kick_disgust,disgust
data/TESS/OAF_disgust\OAF_kill_disgust.wav,OAF_kill_disgust,disgust
data/TESS/OAF_disgust\OAF_king_disgust.wav,OAF_king_disgust,disgust
data/TESS/OAF_disgust\OAF_kite_disgust.wav,OAF_kite_disgust,disgust
data/TESS/OAF_disgust\OAF_knock_disgust.wav,OAF_knock_disgust,disgust
data/TESS/OAF_disgust\OAF_late_disgust.wav,OAF_late_disgust,disgust
data/TESS/OAF_disgust\OAF_laud_disgust.wav,OAF_laud_disgust,disgust
data/TESS/OAF_disgust\OAF_lean_disgust.wav,OAF_lean_disgust,disgust
data/TESS/OAF_disgust\OAF_learn_disgust.wav,OAF_learn_disgust,disgust
data/TESS/OAF_disgust\OAF_lease_disgust.wav,OAF_lease_disgust,disgust
data/TESS/OAF_disgust\OAF_lid_disgust.wav,OAF_lid_disgust,disgust
data/TESS/OAF_disgust\OAF_life_disgust.wav,OAF_life_disgust,disgust
data/TESS/OAF_disgust\OAF_limb_disgust.wav,OAF_limb_disgust,disgust
data/TESS/OAF_disgust\OAF_live_disgust.wav,OAF_live_disgust,disgust
data/TESS/OAF_disgust\OAF_loaf_disgust.wav,OAF_loaf_disgust,disgust
data/TESS/OAF_disgust\OAF_long_disgust.wav,OAF_long_disgust,disgust
data/TESS/OAF_disgust\OAF_lore_disgust.wav,OAF_lore_disgust,disgust
data/TESS/OAF_disgust\OAF_lose_disgust.wav,OAF_lose_disgust,disgust
data/TESS/OAF_disgust\OAF_lot_disgust.wav,OAF_lot_disgust,disgust
data/TESS/OAF_disgust\OAF_love_disgust.wav,OAF_love_disgust,disgust
data/TESS/OAF_disgust\OAF_luck_disgust.wav,OAF_luck_disgust,disgust
data/TESS/OAF_disgust\OAF_make_disgust.wav,OAF_make_disgust,disgust
data/TESS/OAF_disgust\OAF_match_disgust.wav,OAF_match_disgust,disgust
data/TESS/OAF_disgust\OAF_merge_disgust.wav,OAF_merge_disgust,disgust
data/TESS/OAF_disgust\OAF_mess_disgust.wav,OAF_mess_disgust,disgust
data/TESS/OAF_disgust\OAF_met_disgust.wav,OAF_met_disgust,disgust
data/TESS/OAF_disgust\OAF_mill_disgust.wav,OAF_mill_disgust,disgust
data/TESS/OAF_disgust\OAF_mob_disgust.wav,OAF_mob_disgust,disgust
data/TESS/OAF_disgust\OAF_mode_disgust.wav,OAF_mode_disgust,disgust
data/TESS/OAF_disgust\OAF_mood_disgust.wav,OAF_mood_disgust,disgust
data/TESS/OAF_disgust\OAF_moon_disgust.wav,OAF_moon_disgust,disgust
data/TESS/OAF_disgust\OAF_mop_disgust.wav,OAF_mop_disgust,disgust
data/TESS/OAF_disgust\OAF_mouse_disgust.wav,OAF_mouse_disgust,disgust
data/TESS/OAF_disgust\OAF_nag_disgust.wav,OAF_nag_disgust,disgust
data/TESS/OAF_disgust\OAF_name_disgust.wav,OAF_name_disgust,disgust
data/TESS/OAF_disgust\OAF_near_disgust.wav,OAF_near_disgust,disgust
data/TESS/OAF_disgust\OAF_neat_disgust.wav,OAF_neat_disgust,disgust
data/TESS/OAF_disgust\OAF_nice_disgust.wav,OAF_nice_disgust,disgust
data/TESS/OAF_disgust\OAF_note_disgust.wav,OAF_note_disgust,disgust
data/TESS/OAF_disgust\OAF_numb_disgust.wav,OAF_numb_disgust,disgust
data/TESS/OAF_disgust\OAF_pad_disgust.wav,OAF_pad_disgust,disgust
data/TESS/OAF_disgust\OAF_page_disgust.wav,OAF_page_disgust,disgust
data/TESS/OAF_disgust\OAF_pain_disgust.wav,OAF_pain_disgust,disgust
data/TESS/OAF_disgust\OAF_pass_disgust.wav,OAF_pass_disgust,disgust
data/TESS/OAF_disgust\OAF_pearl_disgust.wav,OAF_pearl_disgust,disgust
data/TESS/OAF_disgust\OAF_peg_disgust.wav,OAF_peg_disgust,disgust
data/TESS/OAF_disgust\OAF_perch_disgust.wav,OAF_perch_disgust,disgust
data/TESS/OAF_disgust\OAF_phone_disgust.wav,OAF_phone_disgust,disgust
data/TESS/OAF_disgust\OAF_pick_disgust.wav,OAF_pick_disgust,disgust
data/TESS/OAF_disgust\OAF_pike_disgust.wav,OAF_pike_disgust,disgust
data/TESS/OAF_disgust\OAF_pole_disgust.wav,OAF_pole_disgust,disgust
data/TESS/OAF_disgust\OAF_pool_disgust.wav,OAF_pool_disgust,disgust
data/TESS/OAF_disgust\OAF_puff_disgust.wav,OAF_puff_disgust,disgust
data/TESS/OAF_disgust\OAF_rag_disgust.wav,OAF_rag_disgust,disgust
data/TESS/OAF_disgust\OAF_raid_disgust.wav,OAF_raid_disgust,disgust
data/TESS/OAF_disgust\OAF_rain_disgust.wav,OAF_rain_disgust,disgust
data/TESS/OAF_disgust\OAF_raise_disgust.wav,OAF_raise_disgust,disgust
data/TESS/OAF_disgust\OAF_rat_disgust.wav,OAF_rat_disgust,disgust
data/TESS/OAF_disgust\OAF_reach_disgust.wav,OAF_reach_disgust,disgust
data/TESS/OAF_disgust\OAF_read_disgust.wav,OAF_read_disgust,disgust
data/TESS/OAF_disgust\OAF_red_disgust.wav,OAF_red_disgust,disgust
data/TESS/OAF_disgust\OAF_ring_disgust.wav,OAF_ring_disgust,disgust
data/TESS/OAF_disgust\OAF_ripe_disgust.wav,OAF_ripe_disgust,disgust
data/TESS/OAF_disgust\OAF_road_disgust.wav,OAF_road_disgust,disgust
data/TESS/OAF_disgust\OAF_room_disgust.wav,OAF_room_disgust,disgust
data/TESS/OAF_disgust\OAF_rose_disgust.wav,OAF_rose_disgust,disgust
data/TESS/OAF_disgust\OAF_rot_disgust.wav,OAF_rot_disgust,disgust
data/TESS/OAF_disgust\OAF_rough_disgust.wav,OAF_rough_disgust,disgust
data/TESS/OAF_disgust\OAF_rush_disgust.wav,OAF_rush_disgust,disgust
data/TESS/OAF_disgust\OAF_said_disgust.wav,OAF_said_disgust,disgust
data/TESS/OAF_disgust\OAF_sail_disgust.wav,OAF_sail_disgust,disgust
